2.3759 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.2313 	EXP 	New trial (rep=0, index=5): {'square': 5, 'location': [0, 0]}
21.2348 	EXP 	grid_lines: autoDraw = False
21.2348 	EXP 	target_reward: autoDraw = False
21.2348 	EXP 	grid_lines: autoDraw = True
21.7304 	EXP 	target_reward: autoDraw = True
22.0611 	DATA 	Keypress: space
22.0654 	EXP 	New trial (rep=0, index=6): {'square': 1, 'location': [-0.2, 0.2]}
22.0687 	EXP 	grid_lines: autoDraw = False
22.0687 	EXP 	target_reward: autoDraw = False
22.0687 	EXP 	grid_lines: autoDraw = True
22.5588 	EXP 	target_reward: autoDraw = True
22.9585 	EXP 	New trial (rep=0, index=7): {'square': 7, 'location': [-0.2, -0.2]}
22.9604 	DATA 	Keypress: space
22.9634 	EXP 	grid_lines: autoDraw = False
22.9634 	EXP 	target_reward: autoDraw = False
22.9634 	EXP 	grid_lines: autoDraw = True
23.4544 	EXP 	target_reward: autoDraw = True
23.8432 	EXP 	New trial (rep=0, index=8): {'square': 8, 'location': [0, -0.2]}
23.8448 	DATA 	Keypress: space
23.8483 	EXP 	grid_lines: autoDraw = False
23.8483 	EXP 	target_reward: autoDraw = False
23.8483 	EXP 	grid_lines: autoDraw = True
24.3306 	EXP 	target_reward: autoDraw = True
24.6825 	EXP 	New trial (rep=0, index=9): {'square': 2, 'location': [0, 0.2]}
24.6842 	DATA 	Keypress: space
24.6873 	EXP 	grid_lines: autoDraw = False
24.6873 	EXP 	target_reward: autoDraw = False
24.6873 	EXP 	grid_lines: autoDraw = True
25.1723 	EXP 	target_reward: autoDraw = True
25.4952 	EXP 	New trial (rep=0, index=10): {'square': 1, 'location': [-0.2, 0.2]}
25.4970 	DATA 	Keypress: space
25.5005 	EXP 	grid_lines: autoDraw = False
25.5005 	EXP 	target_reward: autoDraw = False
25.5005 	EXP 	grid_lines: autoDraw = True
25.9828 	EXP 	target_reward: autoDraw = True
26.3050 	EXP 	New trial (rep=0, index=11): {'square': 7, 'location': [-0.2, -0.2]}
26.3067 	DATA 	Keypress: space
26.3105 	EXP 	grid_lines: autoDraw = False
26.3105 	EXP 	target_reward: autoDraw = False
26.3105 	EXP 	grid_lines: autoDraw = True
26.8047 	EXP 	target_reward: autoDraw = True
27.1669 	DATA 	Keypress: space
27.1840 	EXP 	grid_lines: autoDraw = False
27.1840 	EXP 	target_reward: autoDraw = False
27.1996 	EXP 	window1: mouseVisible = True
