1.9533 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
16.0943 	EXP 	New trial (rep=0, index=0): {'square': 1, 'location': [-0.2, 0.2], 'loop_no': 1}
16.1064 	WARNING 	t of last frame was 6361.93ms (=1/0)
16.1064 	EXP 	grid_lines: autoDraw = True
16.5662 	EXP 	target_reward: autoDraw = True
17.5605 	EXP 	target_reward: autoDraw = False
21.3893 	EXP 	New trial (rep=0, index=1): {'square': 6, 'location': [0.2, 0], 'loop_no': 2}
21.4799 	DATA 	Keypress: right
21.4868 	WARNING 	t of last frame was 145.82ms (=1/6)
21.4868 	EXP 	grid_lines: autoDraw = False
21.4868 	EXP 	target_reward: autoDraw = False
21.4868 	EXP 	grid_lines: autoDraw = True
21.8822 	EXP 	target_reward: autoDraw = True
22.8797 	EXP 	target_reward: autoDraw = False
23.2333 	EXP 	New trial (rep=0, index=2): {'square': 7, 'location': [-0.2, -0.2], 'loop_no': 3}
23.2507 	DATA 	Keypress: right
23.2549 	WARNING 	t of last frame was 23.05ms (=1/43)
23.2549 	EXP 	grid_lines: autoDraw = False
23.2549 	EXP 	target_reward: autoDraw = False
23.2549 	EXP 	grid_lines: autoDraw = True
23.7256 	EXP 	target_reward: autoDraw = True
24.7237 	EXP 	target_reward: autoDraw = False
25.0352 	EXP 	New trial (rep=0, index=3): {'square': 9, 'location': [0.2, -0.2], 'loop_no': 3}
25.0384 	DATA 	Keypress: right
25.0426 	EXP 	grid_lines: autoDraw = False
25.0426 	EXP 	target_reward: autoDraw = False
25.0426 	EXP 	grid_lines: autoDraw = True
25.5242 	EXP 	target_reward: autoDraw = True
26.2510 	EXP 	New trial (rep=0, index=4): {'square': 8, 'location': [0, -0.2], 'loop_no': 2}
26.2536 	DATA 	Keypress: right
26.2582 	EXP 	grid_lines: autoDraw = False
26.2582 	EXP 	target_reward: autoDraw = False
26.2582 	EXP 	grid_lines: autoDraw = True
26.7497 	EXP 	target_reward: autoDraw = True
27.4252 	EXP 	New trial (rep=0, index=5): {'square': 7, 'location': [-0.2, -0.2], 'loop_no': 2}
27.4277 	DATA 	Keypress: right
27.4328 	EXP 	grid_lines: autoDraw = False
27.4328 	EXP 	target_reward: autoDraw = False
27.4328 	EXP 	grid_lines: autoDraw = True
27.9155 	EXP 	target_reward: autoDraw = True
28.1788 	EXP 	New trial (rep=0, index=6): {'square': 3, 'location': [0.2, 0.2], 'loop_no': 1}
28.1822 	DATA 	Keypress: right
28.1865 	EXP 	grid_lines: autoDraw = False
28.1865 	EXP 	target_reward: autoDraw = False
28.1865 	EXP 	grid_lines: autoDraw = True
28.6770 	EXP 	target_reward: autoDraw = True
28.7608 	EXP 	New trial (rep=0, index=7): {'square': 2, 'location': [0, 0.2], 'loop_no': 1}
28.7639 	DATA 	Keypress: right
28.7678 	EXP 	grid_lines: autoDraw = False
28.7678 	EXP 	target_reward: autoDraw = False
28.7678 	EXP 	grid_lines: autoDraw = True
29.2627 	EXP 	target_reward: autoDraw = True
29.2927 	EXP 	New trial (rep=0, index=8): {'square': 5, 'location': [0, 0], 'loop_no': 2}
29.2953 	DATA 	Keypress: right
29.3001 	EXP 	grid_lines: autoDraw = False
29.3001 	EXP 	target_reward: autoDraw = False
29.3001 	EXP 	grid_lines: autoDraw = True
29.6589 	EXP 	New trial (rep=0, index=9): {'square': 4, 'location': [-0.2, 0], 'loop_no': 3}
29.6621 	DATA 	Keypress: right
29.6670 	EXP 	grid_lines: autoDraw = False
29.6670 	EXP 	target_reward: autoDraw = False
29.6670 	EXP 	grid_lines: autoDraw = True
29.9873 	EXP 	New trial (rep=0, index=10): {'square': 4, 'location': [-0.2, 0], 'loop_no': 1}
29.9897 	DATA 	Keypress: right
29.9947 	EXP 	grid_lines: autoDraw = False
29.9947 	EXP 	target_reward: autoDraw = False
29.9947 	EXP 	grid_lines: autoDraw = True
30.4854 	EXP 	target_reward: autoDraw = True
31.2538 	DATA 	Keypress: escape
31.5618 	EXP 	window1: mouseVisible = True
