2.2878 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
19.5810 	EXP 	New trial (rep=0, index=2): {'square': 3, 'location': [0.2, 0.2]}
19.5863 	DATA 	Keypress: space
19.5895 	EXP 	grid_lines: autoDraw = False
19.5895 	EXP 	target_reward: autoDraw = False
19.5895 	EXP 	grid_lines: autoDraw = True
20.0813 	EXP 	target_reward: autoDraw = True
20.4115 	EXP 	New trial (rep=0, index=3): {'square': 8, 'location': [0, -0.2]}
20.4132 	DATA 	Keypress: space
20.4165 	EXP 	grid_lines: autoDraw = False
20.4165 	EXP 	target_reward: autoDraw = False
20.4165 	EXP 	grid_lines: autoDraw = True
20.9077 	EXP 	target_reward: autoDraw = True
21.2621 	EXP 	New trial (rep=0, index=4): {'square': 9, 'location': [0.2, -0.2]}
21.2643 	DATA 	Keypress: space
21.2675 	EXP 	grid_lines: autoDraw = False
21.2675 	EXP 	target_reward: autoDraw = False
21.2675 	EXP 	grid_lines: autoDraw = True
21.7596 	EXP 	target_reward: autoDraw = True
22.1040 	DATA 	Keypress: space
22.1088 	EXP 	New trial (rep=0, index=5): {'square': 6, 'location': [0.2, 0]}
22.1125 	EXP 	grid_lines: autoDraw = False
22.1125 	EXP 	target_reward: autoDraw = False
22.1125 	EXP 	grid_lines: autoDraw = True
22.6076 	EXP 	target_reward: autoDraw = True
22.9282 	EXP 	New trial (rep=0, index=6): {'square': 1, 'location': [-0.2, 0.2]}
22.9300 	DATA 	Keypress: space
22.9331 	EXP 	grid_lines: autoDraw = False
22.9331 	EXP 	target_reward: autoDraw = False
22.9331 	EXP 	grid_lines: autoDraw = True
23.4263 	EXP 	target_reward: autoDraw = True
23.7326 	EXP 	New trial (rep=0, index=7): {'square': 4, 'location': [-0.2, 0]}
23.7346 	DATA 	Keypress: space
23.7378 	EXP 	grid_lines: autoDraw = False
23.7378 	EXP 	target_reward: autoDraw = False
23.7378 	EXP 	grid_lines: autoDraw = True
24.2253 	EXP 	target_reward: autoDraw = True
24.5712 	EXP 	New trial (rep=0, index=8): {'square': 4, 'location': [-0.2, 0]}
24.5735 	DATA 	Keypress: space
24.5766 	EXP 	grid_lines: autoDraw = False
24.5766 	EXP 	target_reward: autoDraw = False
24.5766 	EXP 	grid_lines: autoDraw = True
25.0601 	EXP 	target_reward: autoDraw = True
25.4267 	EXP 	New trial (rep=0, index=9): {'square': 2, 'location': [0, 0.2]}
25.4285 	DATA 	Keypress: space
25.4317 	EXP 	grid_lines: autoDraw = False
25.4317 	EXP 	target_reward: autoDraw = False
25.4317 	EXP 	grid_lines: autoDraw = True
25.9160 	EXP 	target_reward: autoDraw = True
26.3614 	EXP 	New trial (rep=0, index=10): {'square': 5, 'location': [0, 0]}
26.3632 	DATA 	Keypress: space
26.3664 	EXP 	grid_lines: autoDraw = False
26.3664 	EXP 	target_reward: autoDraw = False
26.3664 	EXP 	grid_lines: autoDraw = True
26.8527 	EXP 	target_reward: autoDraw = True
27.2368 	EXP 	New trial (rep=0, index=11): {'square': 1, 'location': [-0.2, 0.2]}
27.2385 	DATA 	Keypress: space
27.2416 	EXP 	grid_lines: autoDraw = False
27.2416 	EXP 	target_reward: autoDraw = False
27.2416 	EXP 	grid_lines: autoDraw = True
27.7296 	EXP 	target_reward: autoDraw = True
28.0961 	DATA 	Keypress: space
28.0995 	EXP 	grid_lines: autoDraw = False
28.0995 	EXP 	target_reward: autoDraw = False
28.1136 	EXP 	window1: mouseVisible = True
