2.4798 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
25.6803 	EXP 	grid_lines: autoDraw = True
26.1755 	EXP 	target_reward: autoDraw = True
26.8276 	EXP 	New trial (rep=0, index=7): {'square': 1, 'location': [-0.2, 0.2]}
26.8295 	DATA 	Keypress: space
26.8327 	EXP 	grid_lines: autoDraw = False
26.8327 	EXP 	target_reward: autoDraw = False
26.8327 	EXP 	grid_lines: autoDraw = True
27.3314 	EXP 	target_reward: autoDraw = True
27.8317 	EXP 	New trial (rep=0, index=8): {'square': 6, 'location': [0.2, 0]}
27.8334 	DATA 	Keypress: space
27.8370 	EXP 	grid_lines: autoDraw = False
27.8370 	EXP 	target_reward: autoDraw = False
27.8370 	EXP 	grid_lines: autoDraw = True
28.3231 	EXP 	target_reward: autoDraw = True
28.8688 	EXP 	New trial (rep=0, index=9): {'square': 8, 'location': [0, -0.2]}
28.8703 	DATA 	Keypress: space
28.8834 	EXP 	grid_lines: autoDraw = False
28.8834 	EXP 	target_reward: autoDraw = False
28.8834 	EXP 	grid_lines: autoDraw = True
29.3705 	EXP 	target_reward: autoDraw = True
30.0606 	EXP 	New trial (rep=0, index=10): {'square': 3, 'location': [0.2, 0.2]}
30.0624 	DATA 	Keypress: space
30.0657 	EXP 	grid_lines: autoDraw = False
30.0657 	EXP 	target_reward: autoDraw = False
30.0657 	EXP 	grid_lines: autoDraw = True
30.5540 	EXP 	target_reward: autoDraw = True
31.1360 	EXP 	New trial (rep=0, index=11): {'square': 1, 'location': [-0.2, 0.2]}
31.1380 	DATA 	Keypress: space
31.1416 	EXP 	grid_lines: autoDraw = False
31.1416 	EXP 	target_reward: autoDraw = False
31.1416 	EXP 	grid_lines: autoDraw = True
31.6325 	EXP 	target_reward: autoDraw = True
32.1026 	DATA 	Keypress: space
32.1058 	EXP 	grid_lines: autoDraw = False
32.1058 	EXP 	target_reward: autoDraw = False
32.1210 	EXP 	window1: mouseVisible = True
